Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
Cherupushpam English Medium School,930977,KERALA,KOLLAM,QuilonKottiyam,"Umayanalloor, Distt Kollam - 691589 Kerala",691589,"04742535010
                        ,","04742535010
                        ,",,,04742535010,cherupushpamklm@gmail.com,www.cherupushpamems.com,2007,6/4/2007 12:00:00 AM,SR. JESSY THOMAS,2,"M.Sc, B.Ed., M.Sc",,,,Secondary School,Provisional,1/4/2013,31/3/2016,Mary Matha Education Society,
"GRAMIN STHALI SR. SEC. SCHOOL, MORWALA (Bhiwani)",531038,HARYANA,BHIWANI,Charkhi DadriCharkhi Dadri,"Gramin Sthali Sr. Sec. School, Bigowa, Near Charkhi Dadri, 
Distt. Bhiwani, Haryana.",123306,"01250-254847
                        ,","01250-254847
                        ,",,,0,gramin_school@yahoo.com,,1994,4/13/1994 12:00:00 AM,R.K. Upadhyay,,"M.A., B.Ed., Ph.D.",,17,20,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015",GRAMIN STHALI EDUCATION SOCIETY,
Jeevan Jyoti Public School,1730569,RAJASTHAN,JODHPUR,JodhpurBasni,School Plot Vijay Raje Nagar Pali Bye Pass,342302,"0744-2500692
                        ,","0744-2500692
                        ,",,,0744-2500892,om@cpil.in,,2003,7/2/2003 12:00:00 AM,Mrs.Vijaya Khandelwal,0,MA B Ed,,5,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Jeevan Raksha Shikshan Sansthan,
M.E.S. SCHOOL,830270,KARNATAKA,CHICKMAGALUR,KADURMUDIGERE,"M.E.S. SCHOOL MUDIGERE, CHIKAMAGALUR DIST",577132,"08263221300
                        ,","08263221300
                        ,",,,,messchool_mud@hotmail.com,,1999,6/1/1999 12:00:00 AM,LAXMAN GOWDA M.S.,,"B.Sc., B.ed, M.Sc, M.A.",,5,10,Secondary School,Provisional,1/4/2009,31/3/2012,HARISH EDUCATION FOUNDATION(HEF)," M.E.S. SCHOOL Affiliation Code:830270 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:M.E.S. SCHOOL MUDIGERE, CHIKAMAGALUR DIST Phone Num: STD Code: PhNo: 08263221300 , Fax: City: 577132 Email:messchool_mud@hotmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Gurukul English School,1130211,MAHARASHTRA,BEED,-,"Gurukul English School,Gurukul Nagar,Behind India Bank Colony,Jalna Road,Beed.",431122,"220394
                        ,","220394
                        ,",,,,amjbeed@rediffmail.com,,1995,,ANIL MANOHARRAO JOSHI,0,,,,,Secondary School,Provisional,1/4/2013,31/3/2018,SURYA DEV EDUCATION SOCIETY," Gurukul English School Affiliation Code:1130211 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Gurukul English School,Gurukul Nagar,Behind India Bank Colony,Jalna Road,Beed. Phone Num: STD Code:02442 PhNo: 220394 , Fax: City: 431122 Email:amjbeed@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Jim Corbett School,3530269,UTTARANCHAL,NAINITAL,-,"Jim Corbett School,Polysheet, Teri Pulia, Kathgodam. Distt:-Nainital",263626,"222325
                        ,","222325
                        ,",,,06542 276894,shashinegi2001@yahoo.com,,1993,4/1/1993 12:00:00 AM,REENA SHARMA,0,"B.Sc., B.Ed.",,12,21,Secondary School,Provisional,1/4/2013,31/3/2018,"DAV College Managing Comittee,New Delhi"," Jim Corbett School Affiliation Code:3530269 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Jim Corbett School,Polysheet, Teri Pulia, Kathgodam. Distt:-Nainital Phone Num: STD Code:05946 PhNo: 222325 , Fax: City: 263626 Email:shashinegi2001@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"M.D.SR. SEC. SCHOOL, Neemriwali (Bhiwani)",530827,HARYANA,BHIWANI,BhiwaniBhiwani,"M.D. Sr. Sec. School, Neemriwali (Bhiwani), Haryana.",127309,"9416212466
                        ,","9416212466
                        ,",,,,shiksha.hitkari@yahoo.com,,2006,4/1/2007 12:00:00 AM,Sunita,0,"M.A., B.Ed.",,12,08,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",Sarva Hitkari Siksha Samiti,
LOTUS INTERNATIONAL SCHOOL,1030625,MADHYA PRADESH,UJJAIN,BADNAGARBANGRED,BANGRED DISTRICT UJJAIN,456771,"07367-205560
                        ,","07367-205560
                        ,",,,07367-205560,lotusconventschool@gmail.com,http://www.lotusinternationalschool.co.in,2011,6/15/2012 12:00:00 AM,Mr.HARISH CHAWDA,1,M.SC.B.ED,,06,08,Secondary School,Provisional,1/4/2013,31/3/2016,BANGRED LOTUS SHIKSHA VIKAS SAMITI,
Manava Bhawna Public School,2730647,DELHI,NORTH DELHI,old delhi railway stationswaroop vihar,"Manava Bhawna Public School Nathupura Main Road Near Bus Stand,Burari.",110084,"011-27731003
                        ,","011-27731003
                        ,",,,,mbes_education@yahoo.co.in,,1989,4/3/1989 12:00:00 AM,Urmilla Gaur,0,M.A B.Ed,,14,6,Secondary School,Provisional,1/4/2014,31/3/2019,Manava Bhawna Educational Society," Manava Bhawna Public School Affiliation Code:2730647 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Manava Bhawna Public School Nathupura Main Road Near Bus Stand,Burari. Phone Num: STD Code: PhNo: 011-27731003 , Fax: City: 110084 Email:mbes_education@yahoo.co.in, Website: Courses of study offered: This school follows the CBSE curriculum"
Holy Family Convent School,1030626,MADHYA PRADESH,INDORE,IndoreLasudia,"Holy Family Convent School, Pipliyakumar , Mayakheri Road, P.O. Vijaynagar, Indore 452 010",452010,"0731 - 2802801
                        ,","0731 - 2802801
                        ,",,,0755-2528826,holyfamilyindore@gmail.com,http://www.holyfamilybpl.com,2006,7/3/2006 12:00:00 AM,MissSheeja T A,0,B.A B.Ed,,5,6,Secondary School,Provisional,1/4/2013,31/3/2016,Holy Family Convent Society," Holy Family Convent School Affiliation Code:1030626 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Holy Family Convent School, Pipliyakumar , Mayakheri Road, P.O. Vijaynagar, Indore 452 010 Phone Num: STD Code: PhNo: 0731 - 2802801 , Fax: City: 452010 Email:holyfamilyindore@gmail.com, Website:http://www.holyfamilybpl.com Courses of study offered: This school follows the CBSE curriculum"
Uma Nath Singh Higher Secondary School,2131235,uttar pradesh,JAUNPUR,JafrabadJafrabad,"Uma Nath Singh Higher Secondary School, Sakargunj, Maharupur, Jaunpur",222180,"05452-261815
                        ,","05452-261815
                        ,",,,,nicky1234@yahoo.in,,2007,4/1/2007 12:00:00 AM,Shri Awadhesh Chandra Mishra,0,M.A. B.Ed,,12,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",late Uma Nath Singh Saishik And Dharamarth Trust,
SAHYADRI CENTRAL SCHOOL,930771,KERALA,KOLLAM,PUNALURANCHAL,"KURIVIKONAM,
AREEPLACHY P.O.
KOLLAM DISTRICT
KERALA STATE",691333,"04752274578
                        ,","04752274578
                        ,",,,04752274578,sahyadrics@yahoo.com,,2002,6/3/2002 12:00:00 AM,BINDHU. T.R.,2,"M.A., B.Ed.",,5,10,Secondary School,Provisional,1/4/2012,31/3/2017,SAHYADRI EDUCATIONAL AND CHARITABLE TRUST,
STERLING PUBLIC SCHOOL,2131341,uttar pradesh,MAHARAJGANJ,SISWA BAZARKOTHIBHAR,"STERLING PUBLIC SCHOOL, VILAGE- SISWA KHURD; P.O-SISWA BAZAR; DISTRICT-MAHARAJGANJ (UP)-273153",273153,"09336232523
                        ,","09336232523
                        ,",221229,221229,,sterlingpublicschool@gmail.com,http://www.sterlingeducation.in,2006,7/10/2006 12:00:00 AM,Mr.Rajesh Kumar Singh,2,MA; B.Ed,,10,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",TARAI VIKAS SAMITI,
Aathmalayaa Middle School,2930008,PONDICHERRY,KARAIKAL,KaraikalKottucherry,"Aathmalayaa Nagar, School Road, Keezhzkasakudi, Karaikal - 609609.",609609,"04368292002
                        ,","04368292002
                        ,",5269807,5269807,,msn_06@rediffmail.com,,2004,6/9/2004 12:00:00 AM,Mrs.C.Sharmila Devi,1,"M.Phil., B.Ed.",,3,7,Secondary School,Provisional,1/4/2012,31/3/2015,Aathmalayaa Educational Public Trust," Aathmalayaa Middle School Affiliation Code:2930008 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Aathmalayaa Nagar, School Road, Keezhzkasakudi, Karaikal - 609609. Phone Num: STD Code:01285 PhNo: 04368292002 , Fax:5269807 City: 609609 Email:msn_06@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
TRAVANCORE DEVASWOM BOARD CENTRAL SCHOOL,930795,KERALA,KOLLAM,PUNALURKADAKKAL,"ALTHARAMOOD, KADAKKAL(PO), KOLLAM",691536,"04742426425
                        ,","04742426425
                        ,",543373,543373,,tdbcskadakkal@gmail.com,,2003,6/2/2003 12:00:00 AM,Dr.THOTTAM BHUVANENDRAN NAIR,1,"MA,PhD.",,5,15,Secondary School,Provisional,1/4/2012,31/3/2017,TRAVANCORE DEVASWOM BOARD,
TRAVANCORE DEVASWOM BOARD CENTRAL SCHOOL,930793,KERALA,KOLLAM,KOTTARAKKARAKOTTARAKKARA,"VETTIKAVALA,KOTTARAKARA,KOLLAM",691538,"0474 2403600
                        ,","0474 2403600
                        ,",2767054,2767054,,tdbcsvtk@yahoo.com,,2003,6/2/2003 12:00:00 AM,G.CHANDRASEKHARAN NAIR,1,"BA, B Ed.",,3,28,Secondary School,Provisional,1/4/2012,31/3/2017,TRAVANCORE DEVASWOM BOARD,
"SHANTI NIKETAN PUBLIC SCHOOL, BHADRA",1730439,RAJASTHAN,HANUMANGARH,BHADRABHADRA,"SHANTI NIKETAN PUBLIC SCHOOL, SANJAY CHOWK, BHADRA DISTT. HANUMANGARH (RAJ.)",335501,"01504-225333
                        ,","01504-225333
                        ,",331003,331003,,snpsbhadra@gmail.com,www.snpsbhadra.org,2004,4/1/2004 12:00:00 AM,KRANTI,1,"B.A. (Hons), M.A. (Eng), M.A. (Hindi), B.Ed.",,3,6,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015","Shanti Niketan Educational Society, Bhadra",
st joseph''s english medium school,930815,KERALA,THRISSUR,ChalakudyMala,"pazhookkara, annallo p.o thrissur - 680731",680731,"(0480)2719915
                        ,","(0480)2719915
                        ,",,,,tessygege76@yahoo.in,,2003,6/2/2003 12:00:00 AM,sr. tessy gege,0,"m.a., b.ed",,06,09,Secondary School,Provisional,1/4/2014,31/3/2019,st. joseph''''s convent,
S S Kadapatti International Public School,830432,KARNATAKA,BAGALKOT,BagalkotHungund,"Hunagund-587118, Bagalkot Dist, Karnataka.",587118,"08351260221
                        ,","08351260221
                        ,",,,08351260221,sskipsbagalkot@yahoo.com,http://www.sskips.org,2010,6/2/2011 12:00:00 AM,Mr.Guluguli,0,M.A.B.Ed,,3,6,Secondary School,Provisional,1/4/2015,31/3/2020,Sri Matha Educational and Rural Development Trust,
MUNDLUR GANGAPPA MEMORIAL SCHOOL,830236,KARNATAKA,BELLARY,BELLARY RAILWAY STATIONGANDHINAGAR POLICE STATION BELLARY,MGM SCHOOL COURT ROAD,583101,"08392230115
                        ,","08392230115
                        ,",28562544,28562544,,mgmschool@company.com,www.tlmes.com,1996,8/10/1996 12:00:00 AM,S.A.W. KHADRI,2,M.A. B.ed,,3,5,Secondary School,Provisional,1/4/2012,31/3/2015,TELUGU LINGUISTIC MINORITIES EDUCATIONAL SOCIETY," MUNDLUR GANGAPPA MEMORIAL SCHOOL Affiliation Code:830236 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:MGM SCHOOL COURT ROAD Phone Num: STD Code:0821 PhNo: 08392230115 , Fax:28562544 City: 583101 Email:mgmschool@company.com, Website: Courses of study offered: This school follows the CBSE curriculum"
DOLPHIN INTERNATIONAL SCHOOL  DHAMTARI(C.G.) PIN-493773,3330134,CHATTISGARH,DHAMTARI,DHAMATRIDHAMATRI,DOLPHIN INTERNATIONAL SCHOOL  DHAMTARI(C.G.) PIN-493773,493773,"09229269429
                        ,","09229269429
                        ,",,,0771-4044188,dolphininternational325@yahoo.com,,2008,2/1/2008 12:00:00 AM,SUNITA CHOUDHARY,,M.Sc. B.Ed.,,12,8,Secondary School,Provisional,1/4/2010,31/3/2013,DOLPHIN ACADEMIC SOCIETY," DOLPHIN INTERNATIONAL SCHOOL DHAMTARI(C.G.) PIN-493773 Affiliation Code:3330134 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:DOLPHIN INTERNATIONAL SCHOOL DHAMTARI(C.G.) PIN-493773 Phone Num: STD Code: PhNo: 09229269429 , Fax: City: 493773 Email:dolphininternational325@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM  DIST-RAIPUR(C.G.) PIN-493881,3330140,CHATTISGARH,RAIPUR,RAJIMGOBRA NAYAPARA,DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM  DIST-RAIPUR(C.G.) PIN-493881,493881,"09229267556
                        ,","09229267556
                        ,",,,0771-4044188,dolphininternational325@yahoo.com,,2007,4/7/2008 12:00:00 AM,RAKESH KUMAR AHIRWAR,0,"M.Sc. ,M.Phil,B.Ed.",,6,10,Secondary School,Provisional,1/4/2011,31/3/2014,DOLPHIN EDUCATION SOCIETY," DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM DIST-RAIPUR(C.G.) PIN-493881 Affiliation Code:3330140 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM DIST-RAIPUR(C.G.) PIN-493881 Phone Num: STD Code: PhNo: 09229267556 , Fax: City: 493881 Email:dolphininternational325@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
New Era International School,2131270,uttar pradesh,BAGHPAT,AilumRamala,New Era International School - Kakripur,250623,"09758871707
                        ,","09758871707
                        ,",9838161560,9838161560,,nw.era@rediffmail.com,,2008,7/15/2008 12:00:00 AM,Sanju Tomar,2,"M.A.(ENG.), B.Ed.",,01,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",New Era Educational society,
J.S.S Shri Manjunatheshwara Central School,830455,KARNATAKA,DHARWAD,HubliDharwad,"J.S.S. Shri Manjunatheshwara Central School, Heggeri, Hubli, Karnataka.",580004,"2205055
                        ,","2205055
                        ,",,,2205055,sadanashashivasann@gmail.com,http://smcs.org,2011,6/2/2011 12:00:00 AM,Mrs.Atma K Sindagi,0,M.A.B.Ed,,5,15,Secondary School,Provisional,1/4/2012,31/3/2015,Janatha Shishana Samithi," J.S.S Shri Manjunatheshwara Central School Affiliation Code:830455 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:J.S.S. Shri Manjunatheshwara Central School, Heggeri, Hubli, Karnataka. Phone Num: STD Code: PhNo: 2205055 , Fax: City: 580004 Email:sadanashashivasann@gmail.com, Website:http://smcs.org Courses of study offered: This school follows the CBSE curriculum"
City International School Kothrud,1130251,MAHARASHTRA,PUNE,Pune Railway StationKothrud Police Station,"D.P. Road, Kumrepark, Kothrud",411038,"02032532199
                        ,","02032532199
                        ,",277357,277357,02024321692,skumbare@gmail.com,,2005,4/5/2005 12:00:00 AM,Rachayita Banerjee,1,B.A. B.Ed.,,12,22,Secondary School,Provisional,1/4/2013,31/3/2018,Unity Education Trust,
Tulip Public School,2131223,uttar pradesh,ETAH,EtahEtah,"Tulip Public School,Nidhauli Road,5-B,Aruna Nagar,Etah,U.P.",207001,"05742-238500
                        ,","05742-238500
                        ,",26710543,26710543,05742-234300,tulippublicschool@yahoo.com,,2009,4/1/2009 12:00:00 AM,Mrs. Bindu Jaiswal,2,,,,,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016","Maitreya Education Society,Chandrakuti,Shikohabad Road,Etah",
Bright Land School,1630773,PUNJAB,AMRITSAR,AmritsarMajitha Road Bypass,"Bright Land School, Village Pandori Wariach, Majitha Road, Amritsar",143008,"9646004070
                        ,","9646004070
                        ,",,,,ravinder@brightlandeducation.net,,2003,4/7/2003 12:00:00 AM,Mrs.Harsh Thukral,,B.A. B.Ed,,8,12,Secondary School,Provisional,1/4/2013,31/3/2016,Maa Saraswati Educational Society," Bright Land School Affiliation Code:1630773 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Bright Land School, Village Pandori Wariach, Majitha Road, Amritsar Phone Num: STD Code: PhNo: 9646004070 , Fax: City: 143008 Email:ravinder@brightlandeducation.net, Website: Courses of study offered: This school follows the CBSE curriculum"
Surjeet Memorial Little Angels Middle School,530840,HARYANA,FATEHABAD,TohanaCity Police Station Tohana,"Damkora Road, Tohana",125120,"9255685010
                        ,","9255685010
                        ,",,,,littleangels_tohana@rediffmail.com,,2004,4/1/2008 12:00:00 AM,ISHWAR DEVI SARDANA,0,"B.A., B.Ed.",,5,11,Secondary School,Provisional,1/4/2014,31/3/2017,Surjeet Memorial Education Society,
GADAG PUBLIC SCHOOL,830456,KARNATAKA,GADAG,GADAGAGADAGA,"GADAG PUBLIC SCHOOL,GADAG-KKARNATAKA",582101,"08372-23007
                        ,","08372-23007
                        ,",,,08372-234567,gadag_abhigna@yahoo.com,,2010,6/1/2011 12:00:00 AM,Mr.Fr.MATHEW.M.A.,0,"M.A, B.Ed.M.Phil",,10,15,Secondary School,Provisional,1/4/2012,31/3/2015,JANACHETHATHANA SHIKSHANA SAMITHI," GADAG PUBLIC SCHOOL Affiliation Code:830456 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:GADAG PUBLIC SCHOOL,GADAG-KKARNATAKA Phone Num: STD Code: PhNo: 08372-23007 , Fax: City: 582101 Email:gadag_abhigna@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
R.P. Public School,2131245,uttar pradesh,BIJNOUR,KotdwaraKotdwara,R.P.Public School. Telipara,246149,"01382-229877
                        ,","01382-229877
                        ,",01799-221121,01799-221121,,akarunshivalik@gmail.com,,1995,7/3/1995 12:00:00 AM,Ajit Singh,2,M.A. B.T,,10,30,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018","R.P.Public School, Saamiti"," R.P. Public School Affiliation Code:2131245 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:R.P.Public School. Telipara Phone Num: STD Code:01905 PhNo: 01382-229877 , Fax:01799-221121 City: 246149 Email:akarunshivalik@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
KUSHWAHA ARMY PUBLIC SCHOOL,2130964,uttar pradesh,SAHARANPUR,MANANIHASSANPUR,"KUSHWAHA ARMY PUBLIC SCHOOL,9KM STONE,DELHI ROAD,SAHARANPUR.",247001,"01336246479
                        ,","01336246479
                        ,",,,,kushwahaschool@gmail.com,,2004,4/1/2004 12:00:00 AM,Mr. Anuj Sharma,1,,,,,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015","KUSHWAHA EDUCATIONAL & CHARITABLE SOCIETY ,SAHARANPUR",
KK ENGLISH MEDIUM SCHOOL,931017,KERALA,THIRUVANANTHAPURAM,Thiruvananthapuram CentralNedumangad Police Station,"KK ENGLISH MEDIUM SCHOOL,
KOLLAMKAVU,
PAZHAKUTTY P.O,
NEDUMANGAD TALUK,
PIN 695561",695561,"0472-2172672
                        ,","0472-2172672
                        ,",,,,kkems93@gmail.com,,2003,6/2/2003 12:00:00 AM,Mrs.Priya S.,0,"MA, BEd",,4,5,Secondary School,Provisional,1/4/2013,31/3/2016,"KK Trust, Nedumangad",
Stmartins High School Miyapur,130305,ANDHRA PRADESH,RANGAREDDY,SECUNDRABADMIYAPUR,St.Martins High School Miyapur pin code no 500049,500049,"04064636304,09949792636
                        ,","04064636304,09949792636
                        ,",,,8880,stmartinmiyapur@gmail.com,http://WWW.stmartinsmiyapur.com,2001,2/7/2001 12:00:00 AM,Mrs.A.PADMAVATHI,0,"M.A,B.ED",,15,15,Secondary School,Provisional,1/4/2013,31/3/2016,MNEDUCATION,
LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL,1630676,PUNJAB,PATIALA,GHAGHAR RAILWAY STATIONDERA BASSI,"LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL, NEAR RAILWAY CROSSING, DERA BASSI",140507,"01762-284844,281017
                        ,","01762-284844,281017
                        ,",,,,geeta.nandra@rediffmail.com,,2002,3/30/2002 12:00:00 AM,GEETA NANDRA,,"M.A(ENG), B.ED",,7,10,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014","SHRI MAHAVIR JAIN EDUCATIONAL SOCIETY(REGD), DERA BASSI",
Shree Swaminarayan Goodwill School,430136,GUJARAT,BHARUCH,BharuchSonari Mahal,Shree Swaminarayan Goodwill School; Link Road; Dahej Bypass; Bharuch;Gujarat,392001,"02642-238574
                        ,","02642-238574
                        ,",,,,dk_rup@yahoo.com,,2002,6/11/2006 12:00:00 AM,Dev Kishor Swami,0,M.A.: B.ed,,7,8,Secondary School,Provisional,1/4/2013,31/3/2018,Shree Swaminarayan Education Trust,
Kakka International School,1030596,MADHYA PRADESH,SHAJAPUR,ShajapurThana Nalkheda,"Kakka International School , Bhaisoda Road, Nalkheda Post-Nalkheda,  Tehsil - Nalkheda ,  District -  Shajapur (M.P.)      Pin code-465445",465445,"07361-223107
                        ,","07361-223107
                        ,",260367,260367,,kakka.int.school@gmail.com,,2010,7/1/2010 12:00:00 AM,Mrs. Ravinder Kaur,2,"M.A.(sociology),B.Ed.",,5,15,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Shri ramkumar Education And Research Society,
JAIN PUBLIC SCHOOL,830459,KARNATAKA,DAVANGERE,DavangereVidyanagar,"AVAGERE VILLAGE, BADA CROSS, NEAR BLIND SCHOOL",577001,"08027577201
                        ,","08027577201
                        ,",,,08027577211,ms.santhosh@jainuniversity.ac.in,http://www.jgi.ac.in,2006,4/1/2006 12:00:00 AM,Mrs.RANI SEBASTIAN,0,"M.A., M.ED.",,09,15,Secondary School,Provisional,1/4/2015,31/3/2020,Sri Suparshwanatha Education Trust (R),
Decent School,1730566,RAJASTHAN,KOTA,Railway station KotaBorekheda,"Decent School, Rajnagar, Kota",324006,"07442381257
                        ,","07442381257
                        ,",,,,decentkota@yahoo.co.in,,2009,4/1/2009 12:00:00 AM,Mrs.Veena Jain,2,"B. Ed, M.A. Ed.,P.G.D.C.A., Prabhakar",,15,12,Secondary School,Provisional,1/4/2013,31/3/2016,Decent School Shiksha Samiti,
K L E SOCIETY'S SMT. CHANDRAKALA BHIMARAO RANAMODE SCHOOL,830234,KARNATAKA,BELGAUM,SHEDBALATHANI,SATTI ROAD CS KITTUR HIGH SCHOOL CAMPUS ATHANI,591304,"08289-285855
                        ,","08289-285855
                        ,",2683934,2683934,08289-286270,klesds@yahoo.com,http://www.klesociety.org,1998,6/1/1998 12:00:00 AM,S D SHIRAGAVE,2,M A B Ed,,2,8,Secondary School,Provisional,1/4/2012,31/3/2017,K L E SOCIETY,
Kakka International School,1030596,MADHYA PRADESH,SHAJAPUR,ShajapurThana Nalkheda,"Kakka International School , Bhaisoda Road, Nalkheda Post-Nalkheda,  Tehsil - Nalkheda ,  District -  Shajapur (M.P.)      Pin code-465445",465445,"07361-223107
                        ,","07361-223107
                        ,",260367,260367,,kakka.int.school@gmail.com,,2010,7/1/2010 12:00:00 AM,Mrs. Ravinder Kaur,2,"M.A.(sociology),B.Ed.",,5,15,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Shri ramkumar Education And Research Society," Kakka International School Affiliation Code:1030596 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Kakka International School , Bhaisoda Road, Nalkheda Post-Nalkheda, Tehsil - Nalkheda , District - Shajapur (M.P.) Pin code-465445 Phone Num: STD Code: PhNo: 07361-223107 , Fax: City: 465445 Email:kakka.int.school@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
St.Adams Public School,3530268,UTTARANCHAL,BAGESHWAR,KathgodamBaijnath,"St.Adams Public School, Garur (Bageshwar)",263641,"05963 250206
                        ,","05963 250206
                        ,",9487810753,9487810753,,adams_garur1@yahoo.com,,1998,7/4/1998 12:00:00 AM,Razia Siddiqui,2,MA BEd,,11,18,Secondary School,Provisional,1/4/2013,31/3/2018,St.Adams Public School Welfare Society," St.Adams Public School Affiliation Code:3530268 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:St.Adams Public School, Garur (Bageshwar) Phone Num: STD Code:04347 PhNo: 05963 250206 , Fax:9487810753 City: 263641 Email:adams_garur1@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Chaitanya School,430193,GUJARAT,GANDHINAGAR,GandhinagarChiloda,"181, Village Lekawada, Gandhinagar.",382042,"08141119514
                        ,","08141119514
                        ,",,,,chaitanya.school.181@gmail.com,http://chaitanyaschool.org/admissions-open-2/,2003,10/6/2003 12:00:00 AM,Mrs.Preeta Pillai,0,M.A. B.ed.,,20,20,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",Sree Vidya Niketan Trust,
Spring Valley Public School,1630574,PUNJAB,SANGRUR,BarnalaBarnala,"Spring valley public school, Handiaya road, Barnala-148101,Punjab",148101,"01679-240082
                        ,","01679-240082
                        ,",01343250214,01343250214,01679-231974,kalaunni@gmail.com,,2001,2/20/2001 12:00:00 AM,VEENA MITAL,2,"M.A, B.Ed",,3,5,Secondary School,Provisional,1/4/2013,31/3/2016,Spring Valley Education Society,
Wood Stock School,1830008,SIKKIM,WEST DISTRICT,-,"Shri. Umesh Moktan, Principal, Wood stock School, Dalam, Upper Thambong, P.O. Sombarey - 737 122, West Sikkim.",737122,"5254480
                        ,","5254480
                        ,",2204798,2204798,,tnorbu2002@yahoo.co.in,,,,UMESH MOKTAN,,,,,,Secondary School,Provisional,1/4/2010,31/3/2013,,
Mount Guide International School,931015,KERALA,KANNUR,MaheChokli,"Peringathur, Puliyanabram Post, Thalassery.",670675,"0490-2397377
                        ,","0490-2397377
                        ,",,,,admin@mountguideschool.com,http://www.mountguideinternational.org/,2006,6/5/2006 12:00:00 AM,Dr.Sathi Ramachandran,1,"MA, PhD",,15,28,Secondary School,Provisional,1/4/2013,31/3/2016,PARCO educational Trust,
MAR IGNATHIOSE NOORONO PUBLIC SCHOOL,930949,KERALA,ERNAKULAM,ErnakulamMuvattupuzha,"MAR IGNATHIOSE NOORONO PUBLIC SCHOOL, MEKKADAMPU P.O,MUVATTUPUZHA,ERNAKULAM,KERALA.",682316,"04852207199
                        ,","04852207199
                        ,",,,,minpublicschool@yahoo.co.in,,2002,6/3/2002 12:00:00 AM,MINI GEORGE,,"B.Sc., B.Ed",,5,8,Secondary School,Provisional,1/4/2012,31/3/2015,Mar Ignathiose Noorono Syrian Simhasana Educational Trust,
